Sector,r_Pre-COVID,n_Pre-COVID,r_COVID,n_COVID,r_Post-COVID,n_Post-COVID,z_pre_vs_covid,p_pre_vs_covid,sig_pre_covid,z_covid_vs_post,p_covid_vs_post,sig_covid_post
Communication Services,0.8210,502,0.8459,377,0.8193,629,-1.1959,0.2317,False,1.3293,0.1837,False
Consumer Discretionary,0.8519,502,0.7908,377,0.8196,629,2.7713,0.0056,True,-1.2568,0.2088,False
Consumer Staples,0.5910,502,0.7545,377,0.6360,629,-4.4463,0.0000,True,3.5470,0.0004,True
Energy,0.6748,502,0.5596,377,0.4177,629,2.7374,0.0062,True,2.8662,0.0042,True
Financials,0.9002,502,0.8494,377,0.8647,629,3.2046,0.0014,True,-0.8812,0.3782,False
Health Care,0.8281,502,0.7831,377,0.7103,629,1.8809,0.0600,False,2.5332,0.0113,True
Industrials,0.8659,502,0.8177,377,0.8729,629,2.4351,0.0149,True,-2.9912,0.0028,True
Information Technology,0.9102,502,0.8725,377,0.9048,629,2.7068,0.0068,True,-2.3663,0.0180,True
Materials,0.7938,502,0.7854,377,0.8075,629,0.3253,0.7449,False,-0.9267,0.3541,False
Real Estate,0.4290,502,0.6955,377,0.7081,629,-5.8464,0.0000,True,-0.3796,0.7042,False
Utilities,0.2229,502,0.5579,377,0.4958,629,-5.8935,0.0000,True,1.3165,0.1880,False
