Sector,Pre-COVID,n_Pre-COVID,COVID,n_COVID,Post-COVID,n_Post-COVID
Communication Services,0.8210,502,0.8459,377,0.8193,629
Consumer Discretionary,0.8519,502,0.7908,377,0.8196,629
Consumer Staples,0.5910,502,0.7545,377,0.6360,629
Energy,0.6748,502,0.5596,377,0.4177,629
Financials,0.9002,502,0.8494,377,0.8647,629
Health Care,0.8281,502,0.7831,377,0.7103,629
Industrials,0.8659,502,0.8177,377,0.8729,629
Information Technology,0.9102,502,0.8725,377,0.9048,629
Materials,0.7938,502,0.7854,377,0.8075,629
Real Estate,0.4290,502,0.6955,377,0.7081,629
Utilities,0.2229,502,0.5579,377,0.4958,629
